Region,Sample,Classification,Mean,Std,Variance,Zero %,NaN %,Inf %,Min,Max,Unique Values
accra,sample_020,VALID,22101.474609375,16176.2509765625,261671088.0,0.0,0.0,0.0,320.06378173828125,49221.14453125,69231
accra,sample_021,VALID,21913.375,16177.50390625,261711632.0,0.0,0.0,0.0,320.06378173828125,49221.14453125,69241
accra,sample_022,VALID,21741.87890625,16182.6806640625,261879152.0,0.0,0.0,0.0,320.06378173828125,49172.31640625,69207
accra,sample_023,VALID,21546.8984375,16188.5341796875,262068640.0,0.0,0.0,0.0,320.06378173828125,49172.31640625,68996
accra,sample_024,VALID,22230.234375,16056.3154296875,257805280.0,0.0,0.0,0.0,362.92376708984375,49221.14453125,69292
accra,sample_025,VALID,21891.451171875,16161.865234375,261205888.0,0.0,0.0,0.0,344.76580810546875,49221.14453125,69238
accra,sample_026,VALID,21515.578125,16290.369140625,265376112.0,0.0,0.0,0.0,320.06378173828125,49221.14453125,69127
accra,sample_027,VALID,21176.05078125,16324.505859375,266489488.0,0.0,0.0,0.0,320.06378173828125,49221.14453125,69043
accra,sample_028,VALID,20832.671875,16357.3271484375,267562160.0,0.0,0.0,0.0,320.06378173828125,49172.31640625,68794
accra,sample_029,VALID,20553.599609375,16352.7236328125,267411584.0,0.0,0.0,0.0,320.06378173828125,49172.31640625,68391
accra,sample_030,VALID,21257.80859375,16300.7666015625,265714992.0,0.0,0.0,0.0,362.92376708984375,49221.14453125,69056
accra,sample_031,VALID,20948.087890625,16371.8193359375,268036464.0,0.0,0.0,0.0,344.76580810546875,49221.14453125,68842
accra,sample_032,VALID,20623.263671875,16428.6015625,269898944.0,0.0,0.0,0.0,344.76580810546875,49221.14453125,68524
accra,sample_033,VALID,20263.234375,16458.95703125,270897280.0,0.0,0.0,0.0,344.76580810546875,49221.14453125,68256
accra,sample_034,VALID,19907.30859375,16460.4296875,270945760.0,0.0,0.0,0.0,344.76580810546875,48993.5546875,67814
accra,sample_035,VALID,19575.6875,16461.49609375,270980864.0,0.0,0.0,0.0,629.2064208984375,48763.7890625,66970
addis_ababa,sample_000,VALID,24820.474609375,14058.646484375,197645552.0,0.0,0.0,0.0,52.85640335083008,52521.44921875,69431
addis_ababa,sample_001,VALID,25001.6171875,13807.845703125,190656608.0,0.0,0.0,0.0,52.85640335083008,52521.44921875,69463
addis_ababa,sample_002,VALID,24195.611328125,14257.8857421875,203287312.0,0.0,0.0,0.0,1283.7686767578125,52521.44921875,69455
